ProductivityKey,AI_Productivity_Gain_Pct,Productivity_Gain_per_Employee_Pct,Baseline_Productivity_Units,Target_Productivity_Units,Measurement_Method,Time_Saved_per_Week_Hours,Error_Reduction_Rate_Pct,Efficiency_Score,Innovation_Rate_Increase_Pct,Data_Source,Notes
1,0.24,0.212,97,187,Revenue per employee,5.7,0.2,1.94,0.09,Internal Analytics (Simulated),Productivity metrics simulation.
2,0.242,0.033,74,292,Tasks per day,9.0,0.22,1.42,0.02,Internal Analytics (Simulated),Productivity metrics simulation.
3,0.464,0.038,199,216,Revenue per employee,6.4,0.13,2.37,0.05,Internal Analytics (Simulated),Productivity metrics simulation.
4,0.414,0.255,193,225,Units per hour,5.3,0.14,1.68,0.14,Internal Analytics (Simulated),Productivity metrics simulation.
5,0.378,0.081,185,179,Tasks per day,2.9,0.11,2.47,0.05,Internal Analytics (Simulated),Productivity metrics simulation.
6,0.338,0.272,90,293,Revenue per employee,3.3,0.01,2.29,0.03,Internal Analytics (Simulated),Productivity metrics simulation.
7,0.222,0.247,167,289,Revenue per employee,3.3,0.1,1.69,0.07,Internal Analytics (Simulated),Productivity metrics simulation.
8,0.351,0.171,67,267,Revenue per employee,2.5,0.11,2.24,0.14,Internal Analytics (Simulated),Productivity metrics simulation.
9,0.283,0.122,152,237,Units per hour,1.2,0.2,1.39,0.01,Internal Analytics (Simulated),Productivity metrics simulation.
10,0.36,0.174,95,197,Revenue per employee,2.0,0.07,1.34,0.04,Internal Analytics (Simulated),Productivity metrics simulation.
11,0.298,0.124,193,276,Units per hour,8.4,0.12,2.0,0.0,Internal Analytics (Simulated),Productivity metrics simulation.
12,0.482,0.131,146,168,Units per hour,8.9,0.06,1.95,0.0,Internal Analytics (Simulated),Productivity metrics simulation.
13,0.089,0.277,153,223,Units per hour,2.4,0.05,2.22,0.11,Internal Analytics (Simulated),Productivity metrics simulation.
14,0.342,0.102,195,113,Revenue per employee,8.0,0.06,2.32,0.12,Internal Analytics (Simulated),Productivity metrics simulation.
15,0.392,0.122,181,240,Tasks per day,3.4,0.19,2.07,0.04,Internal Analytics (Simulated),Productivity metrics simulation.
16,0.499,0.079,124,140,Revenue per employee,6.4,0.08,1.82,0.15,Internal Analytics (Simulated),Productivity metrics simulation.
17,0.391,0.13,131,229,Tasks per day,9.7,0.18,2.37,0.07,Internal Analytics (Simulated),Productivity metrics simulation.
18,0.255,0.125,170,264,Tasks per day,2.0,0.1,1.93,0.13,Internal Analytics (Simulated),Productivity metrics simulation.
19,0.377,0.115,154,245,Revenue per employee,7.5,0.16,2.32,0.11,Internal Analytics (Simulated),Productivity metrics simulation.
20,0.442,0.204,121,212,Tasks per day,9.7,0.05,2.21,0.01,Internal Analytics (Simulated),Productivity metrics simulation.
21,0.254,0.227,101,259,Tasks per day,8.9,0.03,1.89,0.02,Internal Analytics (Simulated),Productivity metrics simulation.
22,0.236,0.204,60,141,Revenue per employee,6.8,0.13,2.26,0.02,Internal Analytics (Simulated),Productivity metrics simulation.
23,0.403,0.063,77,153,Revenue per employee,1.4,0.21,1.87,0.09,Internal Analytics (Simulated),Productivity metrics simulation.
24,0.342,0.185,88,168,Units per hour,5.7,0.15,2.03,0.07,Internal Analytics (Simulated),Productivity metrics simulation.
25,0.207,0.203,72,201,Revenue per employee,8.6,0.11,2.24,0.11,Internal Analytics (Simulated),Productivity metrics simulation.
26,0.334,0.129,148,284,Tasks per day,7.8,0.04,1.46,0.1,Internal Analytics (Simulated),Productivity metrics simulation.
27,0.198,0.156,62,207,Revenue per employee,9.8,0.25,1.89,0.06,Internal Analytics (Simulated),Productivity metrics simulation.
28,0.195,0.088,106,278,Tasks per day,4.1,0.19,2.28,0.04,Internal Analytics (Simulated),Productivity metrics simulation.
29,0.445,0.046,65,197,Revenue per employee,8.2,0.11,1.59,0.11,Internal Analytics (Simulated),Productivity metrics simulation.
30,0.068,0.037,68,160,Revenue per employee,2.1,0.17,2.27,0.05,Internal Analytics (Simulated),Productivity metrics simulation.
31,0.309,0.3,102,172,Revenue per employee,7.5,0.21,1.27,0.05,Internal Analytics (Simulated),Productivity metrics simulation.
32,0.141,0.263,111,185,Revenue per employee,6.5,0.12,2.02,0.15,Internal Analytics (Simulated),Productivity metrics simulation.
33,0.401,0.132,173,173,Tasks per day,8.2,0.1,1.24,0.07,Internal Analytics (Simulated),Productivity metrics simulation.
34,0.231,0.055,90,198,Revenue per employee,8.3,0.07,1.26,0.14,Internal Analytics (Simulated),Productivity metrics simulation.
35,0.408,0.281,171,165,Revenue per employee,6.9,0.08,1.99,0.07,Internal Analytics (Simulated),Productivity metrics simulation.
36,0.412,0.04,147,235,Revenue per employee,9.1,0.18,1.17,0.14,Internal Analytics (Simulated),Productivity metrics simulation.
37,0.48,0.135,71,271,Revenue per employee,3.4,0.14,1.35,0.07,Internal Analytics (Simulated),Productivity metrics simulation.
38,0.443,0.172,178,229,Tasks per day,3.0,0.03,2.02,0.01,Internal Analytics (Simulated),Productivity metrics simulation.
39,0.231,0.033,115,271,Units per hour,4.5,0.02,1.31,0.03,Internal Analytics (Simulated),Productivity metrics simulation.
40,0.241,0.298,104,255,Units per hour,3.6,0.15,1.12,0.08,Internal Analytics (Simulated),Productivity metrics simulation.
41,0.48,0.086,151,248,Revenue per employee,5.3,0.19,2.14,0.07,Internal Analytics (Simulated),Productivity metrics simulation.
42,0.355,0.159,139,118,Units per hour,5.2,0.2,1.16,0.08,Internal Analytics (Simulated),Productivity metrics simulation.
43,0.287,0.216,169,217,Units per hour,0.6,0.12,2.37,0.04,Internal Analytics (Simulated),Productivity metrics simulation.
44,0.194,0.056,143,290,Revenue per employee,9.0,0.01,1.42,0.05,Internal Analytics (Simulated),Productivity metrics simulation.
45,0.227,0.153,99,164,Revenue per employee,8.4,0.06,2.35,0.04,Internal Analytics (Simulated),Productivity metrics simulation.
46,0.215,0.26,183,105,Units per hour,5.2,0.03,1.68,0.08,Internal Analytics (Simulated),Productivity metrics simulation.
47,0.201,0.174,161,206,Units per hour,6.5,0.25,2.12,0.03,Internal Analytics (Simulated),Productivity metrics simulation.
48,0.123,0.174,101,155,Revenue per employee,6.2,0.02,2.1,0.0,Internal Analytics (Simulated),Productivity metrics simulation.
49,0.478,0.176,121,197,Revenue per employee,7.6,0.13,2.14,0.06,Internal Analytics (Simulated),Productivity metrics simulation.
50,0.318,0.223,79,280,Revenue per employee,5.1,0.17,1.15,0.02,Internal Analytics (Simulated),Productivity metrics simulation.
